小鹏飞| 大豪科技|董秘你好，请问在你退休或者公司退市之前大豪还会提交重组申请恢复报告吗?|4小时前|感谢关注。|4小时前
fhjvfhg| 大豪科技|提交复核资料是否可以不发公告！|5小时前|尊敬的投资者您好，根据上海证券交易所上市公司自律监管指引第6号，“若本次重组发生重大进展或重大变化，上市公司应当及时披露。”感谢关注。|4小时前
低效一轻大豪| 大豪科技|请问郑建军董事长退休前能完成重组大业吗？|6小时前|感谢关注。|5小时前
亏得哭| 大豪科技|尊敬的董秘： 你好，比起之前信心满满的你，近段时间明显感觉你信心不足。 不知道是否遇到实质性障碍？|6小时前|尊敬的投资者您好，你信，或者不信，我的信披口径一直没变。感谢关注|5小时前
大富大贵| 大豪科技|董秘您好，根据公开资料显示天元律师事务所影响本公司中止重组事项早已消除，查阅证监会公布的重组流程，按法律法规随时可以向监管部门申请消除影响恢复审核工作，参考类似情况的单项复核基本难度一颗星，所以请问董秘关于证监会第一次反馈意见的工作进度如何？|7小时前|尊敬的投资者您好，公司目前的审核状态无须回复第一次反馈意见。感谢关注。|6小时前
fhjvfhg| 大豪科技|公司今日是否有公告发出？|7小时前|感谢关注。|6小时前
亏得哭| 大豪科技|董秘好： 又是新的一周，请你们提高工作效率，抓紧恢复审核的工作！时间不等人，亏得我心疼！|8小时前|尊敬的投资者您好，您的建议会转给相关人员。感谢关注|6小时前
fhjvfhg| 大豪科技|贵公司的缝纫机是否出口到俄罗斯或者乌克兰来造衣服？|2022年02月25日 14:31|尊敬的投资者您好，公司是智能装备数控系统专业化供应商，公司不生产整机设备，我们给整机厂商供应数控系统，整机厂商安装调试完成后全球销售。感谢关注。|2022年02月25日 15:04
fhjvfhg| 大豪科技|贵公司现在接受机构调研不？。现在半年过去了一份复合材料都做不出来。是否第一次证监会要求反馈的资料贵公司无法给出合理解释，所以一直迟迟不提交复核资料？|2022年02月25日 14:40|尊敬的投资者您好，公司无应披无披事项。感谢关注。|2022年02月25日 15:00
祝大豪事业蒸蒸日上| 大豪科技|感谢董秘一直以来对股民提出的问题，能如此耐心地、不厌其烦的逐一解答，如果可以评选全网十大优秀董秘，您一定是其中一位。感叹您心胸宽广的同时，也祝大豪科技的发展蒸蒸日上|2022年02月25日 11:59|感谢关注。|2022年02月25日 13:50
大豪董秘真可爱| 大豪科技|大豪科技：真的很无语了，你们是我见过做事情效率最低的公司，没有之一，这事结束后不管成功还是失败，都不会再和你们有半点瓜葛，也不会再购买和贵司关联的任何产品与服务！贵司的表现真的很让我们这些早期的支持者们失望呃，你们就是这样维护和投资者关系的吗？|2022年02月25日 10:45|尊敬的投资者，您好，感谢您对大豪的厚爱，感谢您的关注。|2022年02月25日 10:58
